16/04/2016 18:01:25.03,0.0,0.0
16/04/2016 18:01:39.11,0.0,0.0
16/04/2016 18:01:44.06,0.0,0.0
16/04/2016 18:01:47.09,0.0,0.0
16/04/2016 18:01:48.11,0.0,0.0
16/04/2016 18:01:49.11,0.0,0.0
16/04/2016 18:01:51.06,0.0,0.0
16/04/2016 18:01:53.23,0.0,0.0
16/04/2016 18:02:01.07,0.0,0.0
16/04/2016 18:02:23.14,0.0,0.0
16/04/2016 18:02:36.06,0.0,0.0
16/04/2016 18:02:37.08,0.0,0.0
16/04/2016 18:02:52.05,0.0,0.0
16/04/2016 18:02:56.00,0.0,0.0
16/04/2016 18:03:12.01,0.0,0.0
16/04/2016 18:03:15.05,0.0,0.0
16/04/2016 18:03:17.00,0.0,0.0
16/04/2016 18:03:19.21,0.0,0.0
16/04/2016 18:03:21.14,0.0,0.0
16/04/2016 18:03:47.20,0.0,0.0
16/04/2016 18:04:08.05,0.0,0.0
16/04/2016 18:04:26.10,0.0,0.0
16/04/2016 18:05:04.16,0.0,0.0
16/04/2016 18:05:50.01,-0.597512602826,-0.814424049331
16/04/2016 18:06:06.09,0.0,0.0
16/04/2016 18:06:23.11,0.0,0.0
16/04/2016 18:06:25.05,0.0,0.0
16/04/2016 18:06:27.03,0.0,0.0
16/04/2016 18:06:50.15,0.0,0.0
16/04/2016 18:07:05.06,0.0,0.0
16/04/2016 18:07:10.04,0.0,0.0
16/04/2016 18:07:47.04,0.0,0.0
16/04/2016 18:07:53.07,0.0,0.0
16/04/2016 18:07:55.00,0.0,0.0
16/04/2016 18:08:13.07,0.0,0.0
16/04/2016 18:08:30.19,0.0,0.0
16/04/2016 18:08:54.14,0.0,0.0
16/04/2016 18:09:37.09,0.0,0.0
16/04/2016 18:10:12.01,0.0,0.0
16/04/2016 18:10:12.16,0.0,0.0
16/04/2016 18:10:16.10,0.0,0.0
16/04/2016 18:10:18.10,0.0,0.0
16/04/2016 18:10:32.05,0.0,0.0
16/04/2016 18:10:39.08,0.0,0.0
16/04/2016 18:10:40.22,0.0,0.0
16/04/2016 18:11:05.05,0.0,0.0
16/04/2016 18:11:28.01,0.0,0.0
16/04/2016 18:11:40.09,0.0,0.0
16/04/2016 18:12:21.20,0.0,0.0
16/04/2016 18:12:42.04,0.0,0.0
16/04/2016 18:12:46.17,0.0,0.0
16/04/2016 18:12:47.02,0.0,0.0
16/04/2016 18:12:57.20,0.0,0.0
16/04/2016 18:13:02.09,0.0,0.0
16/04/2016 18:13:05.18,0.0,0.0
16/04/2016 18:13:43.03,0.0,0.0
16/04/2016 18:14:23.00,0.0,0.0
16/04/2016 18:14:49.06,0.0,0.0
16/04/2016 18:14:50.09,0.0,0.0
16/04/2016 18:15:13.19,0.0,0.0
16/04/2016 18:15:22.01,0.0,0.0
16/04/2016 18:15:25.17,0.0,0.0
16/04/2016 18:15:45.02,0.0,0.0
16/04/2016 18:15:49.01,0.0,0.0
16/04/2016 18:16:00.06,0.0,0.0
16/04/2016 18:16:21.00,0.0,0.0
16/04/2016 18:16:26.06,0.0,0.0
16/04/2016 18:16:42.17,0.0,0.0
16/04/2016 18:16:45.02,0.0,0.0
16/04/2016 18:17:00.12,0.0,0.0
16/04/2016 18:17:18.14,0.0,0.0
16/04/2016 18:17:51.06,0.0,0.0
16/04/2016 18:17:52.18,0.0,0.0
16/04/2016 18:18:03.09,0.0,0.0
16/04/2016 18:18:14.02,0.0,0.0
16/04/2016 18:18:53.11,0.0,0.0
16/04/2016 18:19:10.15,0.0,0.0
16/04/2016 18:19:12.09,0.0,0.0
16/04/2016 18:19:25.12,0.0,0.0
16/04/2016 18:20:02.06,0.0,0.0
16/04/2016 18:20:56.08,0.0,0.0
16/04/2016 18:21:51.04,0.0,0.0
16/04/2016 18:22:19.13,0.0,0.0
16/04/2016 18:22:23.11,0.0,0.0
16/04/2016 18:25:42.09,0.0,0.0
16/04/2016 18:26:24.01,0.0,0.0
16/04/2016 18:27:36.02,0.0,0.0
16/04/2016 18:29:29.24,0.0,0.0
16/04/2016 18:30:34.09,0.0,0.0
16/04/2016 18:30:57.00,0.0,0.0
16/04/2016 18:32:03.13,0.0,0.0
16/04/2016 18:32:10.18,0.0,0.0
16/04/2016 18:32:21.18,0.0,0.0
16/04/2016 18:32:23.05,0.0,0.0
16/04/2016 18:32:23.12,0.0,0.0
16/04/2016 18:32:26.04,0.0,0.0
16/04/2016 18:32:30.20,0.0,0.0
16/04/2016 18:32:35.09,0.0,0.0
16/04/2016 18:33:30.20,0.0,0.0
16/04/2016 18:33:32.00,0.0,0.0
16/04/2016 18:34:16.05,0.0,0.0
16/04/2016 18:34:34.01,0.0,0.0
16/04/2016 18:34:40.05,0.0,0.0
16/04/2016 18:34:41.10,0.0,0.0
16/04/2016 18:34:43.17,0.0,0.0
16/04/2016 19:35:00.01,-0.503517647059,-0.898521147757
16/04/2016 19:35:15.20,0.0,0.0
16/04/2016 19:35:59.10,0.0,0.0
16/04/2016 19:41:08.01,0.0,0.0
16/04/2016 19:41:10.15,0.0,0.0
16/04/2016 19:41:12.17,0.0,0.0
16/04/2016 19:42:30.06,0.0,0.0
16/04/2016 19:43:38.06,0.0,0.0
16/04/2016 19:44:01.02,0.0,0.0
16/04/2016 19:44:04.17,0.0,0.0
16/04/2016 19:44:06.16,0.0,0.0
16/04/2016 19:44:27.06,0.0,0.0
16/04/2016 19:45:00.05,0.0,0.0
16/04/2016 19:45:19.16,0.0,0.0
16/04/2016 19:45:21.00,0.0,0.0
16/04/2016 19:45:30.13,0.0,0.0
16/04/2016 19:45:39.11,0.0,0.0
16/04/2016 19:45:53.00,0.0,0.0
16/04/2016 19:45:55.08,0.0,0.0
16/04/2016 19:45:59.11,0.0,0.0
16/04/2016 19:46:11.01,0.0,0.0
16/04/2016 19:47:43.06,0.0,0.0
16/04/2016 19:48:01.00,0.0,0.0
16/04/2016 19:48:11.06,0.0,0.0
